date,likes,views,comments,estimated_saves,estimated_shares,engagement_rate,video_url,caption,hashtags,mentions,manual_tags
2025-09-26,78,168,28,11,7,124,https://scontent-iad3-1.cdninstagram.com/o1/v/t16/f2/m86/AQOgIE0vB_D5-CmLmr6PTAvlq0-1DSKFPICYVoz0Gk99QfNnTeoRK9vs94aiRhqGrxAlh4eUJzno4AydNFCYojbws2MHR6W7jcM1LNM.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=109&vs=1108009148133464_3427899481&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC80NTQ1NTdFM0VDNkE2QjUwMkIwOURCNkExMDRDQUNBQ192aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HUDJvOUNBZ2VtTy1CVWNFQUdKWEZHSDA3cnhPYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJs713Zrh89c%2FFQIoAkMzLBdATeIMSbpeNRgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=336115c045&ccb=9-4&oh=00_Afff0AE4-SmoNZLcoqZ-rTl17aWnIuPU5QBgtFcaQzwWEw&oe=68E8521E&_nc_sid=10d13b,"Sometimes being a man means carrying the world in silence. 🎤💔
@kizzdaniel can relate, do you feel this too?👇🏽
#tobeaman #viralreels❤️ #naijamusic #afrobeats #singersongwriter #musiccover","tobeaman, viralreels❤️, naijamusic, afrobeats, singersongwriter, musiccover",kizzdaniel,
2025-10-01,59,119,20,8,5,92,https://scontent-iad3-1.cdninstagram.com/o1/v/t16/f2/m86/AQPhGbRTKkzSvoxphb-QW94uWCaAPhyRyPctGMVXVqMJ9AKDU25soyGFhVLrN-JPttNnrYL_ddq3K5UwGUBB3MHDky-FZAXZLo9Ok54.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=109&vs=1122194916214580_418751634&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC85MjQwNTM0MUREMUJGRDUwNENDNjY2NDU1ODE2MkVCNl92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HT29MUHlGbHEyYktOc2NDQU9YelY0MVl4dUZpYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJu6auJCs77E%2FFQIoAkMzLBdASdEGJN0vGxgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=39dc407a91&ccb=9-4&oh=00_AfdhKeYiHo7fRiw-WPCtAD8S8hgjJgvn5b5sJjYZSxR7_w&oe=68E8681A&_nc_sid=10d13b,"Well, take my shoes and go crazyy 🥲 @kizzdaniel #khrisus #tobeaman #art","khrisus, tobeaman, art",kizzdaniel,
2025-09-30,17,28,0,2,1,20,https://scontent-atl3-3.cdninstagram.com/o1/v/t16/f2/m86/AQOmKBWXxeRgQY6HkXJo-yFxp1h3qLDUJZcclea6otCFqy7l2TEjgZ5E-lJdwG8_0Gv-Xw13Ex-p_-iCX4CbMzyQCfyepwpptoVwQE4.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNTc2LmJhc2VsaW5lIn0&_nc_cat=110&vs=1065516418993880_2458293569&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC8wNzQ5RDNGNzlFMTk3NzAzNzg1RkE1MUNGQUIwNzg4MF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HSGdUSmlIR0kwWTItTzhEQUQ3cEZ1YzYyejhXYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJs77pMGUj9g%2FFQIoAkMzLBdAUD3S8an75xgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=8eb1f3ec00&ccb=9-4&oh=00_Afe_SToqFP9UcLr5UDhQlmw2jrI0ntitcC421NDTz0u8pA&oe=68E86FB2&_nc_sid=10d13b,"Found this beat that @samad_wurld and @dai_verse bodied!!
I decided to write a verse.
Painful reminder say I don dey old🥲, I’m not where I want to be yet, but I’m trusting the process.
.
.
.
#remorse #reels #trendingsongs #explorepage #cover","remorse, reels, trendingsongs, explorepage, cover","samad_wurld, dai_verse",
2025-03-19,-1,352,29,0,0,28,https://scontent-atl3-2.cdninstagram.com/o1/v/t16/f2/m86/AQNgXuwa1s0X70LMpBO4zWlu3oXM7rdlQYpV2KXUn9sjB5CY44Q6K_JLY7Ko92THKEnivbA8OLbk5yyu2_oxQLFNJCIxtk_NME6rTJA.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuMzYwLmJhc2VsaW5lIn0&_nc_cat=101&vs=2805067509680689_2113159518&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC8xMzQ4QzVGRkJERDFCMEQ1OEZFMDQ3NTA5NjNDMUY4Rl92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HR0tDNmh4VWxoV0M5SU1PQUxHbzQtVE45TllsYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJoDr7p24xZ5AFQIoAkMzLBdATful41P3zxgSZGFzaF9iYXNlbGluZV8zX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=7e367293ed&ccb=9-4&oh=00_Afdoj8KLK5NKaqhSxCquLI_V5LpMkn2u0KiZgXvz19GyEA&oe=68E87501&_nc_sid=10d13b,"@kunmieofficial me sef don catch Arike fever, if she leave me lasan 😭. 
.
@aktivatedtv @glitchafrica @plugfromthestreet @krakstv @mazitundeednut @straehsoundz 
.
#fypシ #explore #viral #cover #freestyle #rap #arike #fever #5thkind","fypシ, explore, viral, cover, freestyle, rap, arike, fever, 5thkind","kunmieofficial, aktivatedtv, glitchafrica, plugfromthestreet, krakstv, mazitundeednut, straehsoundz",
2025-01-05,-1,84,0,0,0,-1,https://scontent-iad3-1.cdninstagram.com/o1/v/t16/f2/m86/AQME7vDwEgyzQqEXsF5K4hWiP0Tvg3RDS9x-0ZZLm8EJ7KO_nbpWL4GXx77i8LglaT-Ld6zD7ViTLZH18ObvJH6TxhKFZGWNNQpWpSI.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuMzYwLmJhc2VsaW5lIn0&_nc_cat=109&vs=8949089378541203_1624682090&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC8zMDQwREE5QUYyMEZGRTBBMTA0RDlCNDc4Q0RDN0RBNl92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HRzFpS1J6bjNzT3pCc2NFQUVTdlFRS1c2VzRHYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJpKOoP%2BS74xBFQIoAkMzLBdAOU9cKPXCjxgSZGFzaF9iYXNlbGluZV8zX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=2f147d8b90&ccb=9-4&oh=00_AfeEMAo3ibe9rMH2lipkjaLvgUL7rEXfmjXePMyQyrm2bg&oe=68E86313&_nc_sid=10d13b,"Steady fightin’ like a soldier man!! Link in bio😌 Have you streamed the EP?
#explore #explorepage #artist #music #reels #trendingsongs #upcoming #newmusic #rap","explore, explorepage, artist, music, reels, trendingsongs, upcoming, newmusic, rap",,
2025-10-01,47,77,17,7,4,75,https://instagram.fmem1-2.fna.fbcdn.net/o1/v/t16/f2/m86/AQNN2G3iYE7paa7bVYxk9AMPXwauro4ZUr4E1MAps9fGUikjNSfMLXLhBqbs5Vhe8JJrtub1O5K1Vm1ZhWql6_0v4L7Svg3tzMdu9wk.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=111&vs=4333062966980921_134234048&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC8wQjQ4RTM1MjFBODhCNDU3N0Y1QzhFQTM5MEU4MTY5RF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HSlBiVGlFSkFTVGRJd3dHQU1Pb2hxRTdkNVZnYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJs7Klp2Tltg%2FFQIoAkMzLBdAXGAAAAAAABgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=4581b9559d&ccb=9-4&oh=00_AfebcI7SxeEBCOkYu_9-SY92vCNeW-m7-uo5Zi8dZv-olw&oe=68E8515C&_nc_sid=10d13b,"Happy Independence day 🤍🇳🇬
We should celebrate! 
But we should never pretend.
Above all…
WE MUST NEVER LOSE HOPE!!!
.
.
.
#hope #naija #reels","hope, naija, reels",,
2025-03-24,33,57,2,4,3,42,https://scontent-hou1-1.cdninstagram.com/o1/v/t16/f2/m86/AQOpg7nKDUuBx5EEo9ZzTwj_jdOQweHjXfKw48wlES5lMpTViE0gCb9_XimIgcjKCVsh-Bbk6Meih6k9z1LHYVBdP24b3O_21E83kBM.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuMzYwLmJhc2VsaW5lIn0&_nc_cat=111&vs=4083734575246621_2592244142&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9FNjQ4MTVENjlBOEYxQzZFRENDN0FGOTgxMDBDRkNBQl92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HRXFQX3h6aFBwOHpUUnNFQUhlcmdwMnVGazRQYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJvL2j5%2F25fU%2FFQIoAkMzLBdATdmZmZmZmhgSZGFzaF9iYXNlbGluZV8zX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=7d6b2f93f2&ccb=9-4&oh=00_Afe8Fr-oZDtgo1RsXPdIDPj6Xqlu49DOAN1oo_-s2pn7qQ&oe=68E872FB&_nc_sid=10d13b,"Just in case you haven’t heard my verse on ‘Arike’ by @kunmieofficial .
#explore #trendingreels #cover #artist #rap #arike #arikeopenversechallenge #5thkind","explore, trendingreels, cover, artist, rap, arike, arikeopenversechallenge, 5thkind",kunmieofficial,
2025-01-10,-1,105,0,0,0,-1,https://scontent-atl3-1.cdninstagram.com/o1/v/t16/f2/m86/AQMnOvKO78h6pb1TrlXWWtfuU-FGkXC35JdWZSMpkU-yAyJ8_3mWYPnoudTyraICVz4uSrFs8Vr5wEFcVdOBrHqYNkWt-hbGkHtIdF4.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuMzYwLmJhc2VsaW5lIn0&_nc_cat=104&vs=1163694831753959_3340592201&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC8xQTRDRkQ3NTZCNTIwQjc0NTYxQkNCQ0NBRjM3NzQ4Ml92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HRzJESWh5cGdObDZhLTREQUpsOVgzUncxdHB0YnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJtrs3v%2FPwqFBFQIoAkMzLBdAQsQ5WBBiThgSZGFzaF9iYXNlbGluZV8zX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=a70e5a1a1f&ccb=9-4&oh=00_AfeaYdIqYaxTH9LZVyaYZcTe066obLwkw_fjB0wY1R50Ng&oe=68E85AFC&_nc_sid=10d13b,"Out on all platforms!!!
.
.
.
.
#newmusicfriday #explore #goviral #reels #naija","newmusicfriday, explore, goviral, reels, naija",,
2024-12-30,-1,1122,15,0,0,14,https://scontent-dfw5-1.cdninstagram.com/o1/v/t16/f2/m86/AQMyoOD802g4MLhG4z_WmfES7PbVs7jabuUrGuB7N6CZVyZc84wZAcOBftwxtMQh3KbjufJLnB2f_Vbi478TSQxjqqt69ClUDWGetgg.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuMzYwLmJhc2VsaW5lIn0&_nc_cat=103&vs=410849352021404_2503411339&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC82ODRBQzFBOUExOEI5NUYyQjg2OTkzNUFDMEY3MzNCOV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HRi1jR0J6R1dkM18zVzRHQUZMMVRNWU9lbGRPYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJpLj85z72JZAFQIoAkMzLBdAPsyLQ5WBBhgSZGFzaF9iYXNlbGluZV8zX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=55359ded57&ccb=9-4&oh=00_AfeSUk_NOdwK9vIM5hL2sua2Zh0zjE42eZid-L2XyAfXxg&oe=68E85775&_nc_sid=10d13b,"No reason am! Na solid outfit😂😂.
.
.
.
.
.
.
#explore #reels #fyp #funny #fashionstyle #relatable #picnic #naija","explore, reels, fyp, funny, fashionstyle, relatable, picnic, naija",,
2024-09-01,-1,190,29,0,0,28,https://instagram.fosu3-1.fna.fbcdn.net/o1/v/t16/f2/m86/AQNNX8_YswMdfpYFvMR1giCYsrgzdWocIJIwYyiWMlx39RBZqpoiZDsaD09mvu9NbsEgwlqTpZCVHriWI9JUEvIHjWP_uaDj78ujAdQ.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuMzYwLmJhc2VsaW5lIn0&_nc_cat=105&vs=1029685395082636_711689397&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9FQjRDQjIwQ0MwOUJFNEEyRTMxOUNCNDVERTk5ODk5NV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HTzZRUmh1NmNYWks2T1FJQU41bXQ0aktrUlo5YnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJsKpms2OxIdBFQIoAkMzLBdAVoAAAAAAABgSZGFzaF9iYXNlbGluZV8zX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=83aee36aa5&ccb=9-4&oh=00_AfcV64DUwvIlfxiBORqX2fRRvE9oPK5cc5b-hLxTpHb4fg&oe=68E86973&_nc_sid=10d13b,"New month, new vibes! 🌟 Kicking off September with this amazing cover by 5th.kind.

Original: 5 star by @adekunlegold .
Cc:
@straehsoundz  @itzhabeeb04 
@aiyedonaephraim520 
@kre8ive_nurse  @othello819 

Please tag @adekunlegold in the comments🤲🙏 till he sees this!!!🎶 Let’s make this month one to remember! 🙌🔥. #fyp #fypシ #explorepage #trending #viral #music #fresh #new #newmusic #explore .","fyp, fypシ, explorepage, trending, viral, music, fresh, new, newmusic, explore","adekunlegold, straehsoundz, itzhabeeb04, aiyedonaephraim520, kre8ive_nurse, othello819",
