date,likes,views,comments,estimated_saves,estimated_shares,engagement_rate,video_url,caption,hashtags,mentions,manual_tags
2025-08-10,-1,349,24,0,0,23,https://scontent-dfw5-2.cdninstagram.com/o1/v/t16/f2/m86/AQNVIJqJnoPiHhyXkYiYt7M4CEW-vCvasNFokfQ_AxjsMklR8WWV4jSl-BuDk8IcBLfOD7UWlOBRO7fDqiPCJSo6U-o6Bg5KnMHMvCk.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=104&vs=4227340817546097_886907357&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9FQzQxOUQ0QzBEMDE4RDBGQTRGNjg4Q0YyMUM0MTZBQV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HSlV2bUJfT2ZYZk5EYWtFQU1qVk5pMU81U1kxYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJsLk6oykrMY%2FFQIoAkMzLBdAUoeuFHrhSBgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=d4fe36e3de&ccb=9-4&oh=00_AfcNbkgleyGLU7wXiFR_JLCeF38atX3I5X0HCmG17ar3Lg&oe=68E59BA9&_nc_sid=10d13b,"Where style meets precision  every stitch tells your story.
Drip that speaks louder than words. 
Not just clothes. It’s a whole mood.
Our anniversary sales still going

Shop and preorder NOW ��
� @soss_moment 

#viral #viralreels #reelsinstagram #trending #acc #aconnectcollections  #instagramreels","viral, viralreels, reelsinstagram, trending, acc, aconnectcollections, instagramreels",soss_moment,
2025-09-02,81,317,12,12,8,113,https://scontent-bos5-1.cdninstagram.com/o1/v/t16/f2/m86/AQO-BrRcONHBJWUZ5ULm3xXX02T7Db63pWn0Y8gjdecjmVlpVnlr35xXz2nnRFjUJlKMHuJZSOGVxVtSErpkIhEoxu59w8Qs5L_s8wc.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=108&vs=1930012707844875_1915432881&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC85NDREOTAxNURERENGNTI5QzVDQTIyN0U5QTRDNzNCN192aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HUGg2WFNDc2NzMUVjU2tGQU5pVjhscHRjQ1FNYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJpCI3PDr%2B7FBFQIoAkMzLBdAM4AAAAAAABgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=dfcfa81cd0&ccb=9-4&oh=00_AfckGX0BbBs7akT5Bbqc98sNwmTnzci6yiCWjgzzYKLS9w&oe=68E5960C&_nc_sid=10d13b,"The cooking and the....?

Finish the sentence

#viral #trending #acc #aconnectcollections","viral, trending, acc, aconnectcollections",,
2024-12-24,152,463,37,22,15,226,https://scontent-lga3-1.cdninstagram.com/o1/v/t16/f2/m86/AQMmxxiu5n9_-EhxkH26nAcnmbvcqv04tYQCP7MxOsyNvI2Fb5XrtvQpwli9CkU7-OR_44Xqw3zGI7ayCVUX16J-yis7bDwPXqzY7sM.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuMzYwLmJhc2VsaW5lIn0&_nc_cat=103&vs=1331398534519427_2189644933&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC84MjQyQUFCQTRFMzA4OEEwNDI4NTE5MzY2NUNFN0M4M192aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HSzRSQnh4UzJwSHRLWUlNQUFYeGM0ckwyblZkYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJv6au%2BXzj5FAFQIoAkMzLBdARd3S8an75xgSZGFzaF9iYXNlbGluZV8zX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=c974207d89&ccb=9-4&oh=00_Aff5XbXunA3okI5hO1wHfKCUZhtov7O-VDi_1DcneklwQA&oe=68E58616&_nc_sid=10d13b,"@she_is_ada_ and @tobi.loba___ say ""the world is your oyster""

Shop from @a.connectcollections today 🤎🤍
Enjoy massive discounts and instant DELIVERY 🇳🇬🇳🇬

#viral #explore #fashion #aconnectcollections #acc #style #trending #explorepage #fashionstyle #styling #oysters #world","viral, explore, fashion, aconnectcollections, acc, style, trending, explorepage, fashionstyle, styling, oysters, world","she_is_ada_, tobi.loba___, a.connectcollections",
2024-11-24,225,967,18,33,22,298,https://scontent-lga3-2.cdninstagram.com/o1/v/t16/f2/m86/AQOKLBAIWxXj4mny2-Bjeae2BdTdea7yBl_omx7P3Y-BRJe-jM49OuAy3-_jg6PwPoGNU5v-1bK91RFWHHDIBhgR8VCwoH0sUcZhJlw.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuMzYwLmJhc2VsaW5lIn0&_nc_cat=100&vs=591629720211604_3831246985&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC80NTRFRDE4NEU3REIxMzExMzU4RjQwRjBDRTVDOTc5OV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HSnpjNHh0Rkptb2tYd0lDQUswcHljZU5IV1U0YnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJpb02tvhjYlAFQIoAkMzLBdAQSIMSbpeNRgSZGFzaF9iYXNlbGluZV8zX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=aa17013c3c&ccb=9-4&oh=00_Aff55nG7CQeKRZj-xG6vnqqWC0ftFjhvpHfjVp63s3-I8w&oe=68E57598&_nc_sid=10d13b,"Prêt-à-Porter; ready to wear, high fashion clothing
On the GO to make you stay cool, stay suited and stay CLASSY.
Style it, we make it! 🥶🤎🤍
Shop ACC today!
Send a DM @a.connectcollections to PREORDER

Videographer: @soss_moment

 #viralreels #explore #viral #acc #aconnectcollections #fashion #style #trending #fashionstyle #styling #fyp #brown #white #brand #luxury","viralreels, explore, viral, acc, aconnectcollections, fashion, style, trending, fashionstyle, styling, fyp, brown, white, brand, luxury","a.connectcollections, soss_moment",
2024-08-26,136,483,22,20,13,191,https://scontent-sjc3-1.cdninstagram.com/o1/v/t16/f2/m86/AQOX58dEq9mE1_YJca8oTYJ9NhsAWKbgaj42hQvHxnlTOok6CJrasp9oVIFJdnEnvLbOlGqoYxkyHYbh6TIsVO9vZYr9uk0Rfd9JIDE.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzEuMzYwLmJhc2VsaW5lIn0&_nc_cat=103&vs=1152689245816384_1977665049&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC80RDQ1RTA3MEU5OUQ5M0VGOUREOTAwMzE1NTlEQzdCRl92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HRVcyUUJ2ajlxOWZoYk1EQVBlZXZTZTJjTk5yYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJvzntLLbnItAFQIoAkMzLBdAWyGJN0vGqBgSZGFzaF9iYXNlbGluZV8zX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=a98d907c79&ccb=9-4&oh=00_Afe_v8OxrRpQ1VV_G14geYReBEJMe5r2SPzohC9ntaJNDg&oe=68E59330&_nc_sid=10d13b,"Money with Happiness 
Love with Peace 
Happy birthday to me🇳🇬⭐️🇺🇸
^
^
^
^
^
#life #lifestyle #instasearch #she_is_ada","life, lifestyle, instasearch, she_is_ada",,
2025-05-09,103,31,46,15,10,174,https://scontent-atl3-1.cdninstagram.com/o1/v/t16/f2/m86/AQOfKqf8JdYQTKSimEpihdv5BDD40yntFs9CZk8V4IicWimxVZcb3HE4PXTBNhBCFlLa2q7X5SzPmNXHMVEbvTJvbt0RUU8tJA14fCo.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuMzYwLmJhc2VsaW5lIn0&_nc_cat=106&vs=1446142846744567_271973471&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9FNTQyNDNBMUFDMkFFMkEzMzZCMDc4NzAxNkQwMDlCRl92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HTm03U0IyN3FINWg5dmtOQUFfUGNqYTNOVDRGYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJoLSyJDm0sU%2FFQIoAkMzLBdASQAAAAAAABgSZGFzaF9iYXNlbGluZV8zX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=b01f3de683&ccb=9-4&oh=00_Afc8eW4dZkIOkOq5PuANE3T25gXdzKkuJ6h17LMoM42vJg&oe=68E5997F&_nc_sid=10d13b,"""The voice of ADA"" | MBAEME KAMSI ADA | cravex originals

Kamsi ada
Cravex originals 
Onifade Ayomide Abass 

@she_is_ada
@cravexoriginals 
@directorcamo 

#cravexoriginals #beliveinyourself 

Do you believe in yourself?","cravexoriginals, beliveinyourself","she_is_ada, cravexoriginals, directorcamo",
2025-09-25,79,254,13,11,7,110,https://scontent-dfw5-3.cdninstagram.com/o1/v/t16/f2/m86/AQO1OsD-oJG4RxZyWQYgix3IIBwVzFlC4UsQI4a7DwUuPGt1S54HB15T9eJvoLfoTNrG61xEP--5z057qiwsS5qWDfJGf4PX_GyoyVg.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=108&vs=714959494898821_3834095615&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC8wMjQ0NEM3N0M0MTM5OTlEQzgwODg5NUI4RjM4NTBCRV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HSUVtOFNETG1VZlRHaGNOQU50Tl91U3NvOElNYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJvLphrrUodg%2FFQIoAkMzLBdAXcZmZmZmZhgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=bf65d15c14&ccb=9-4&oh=00_AfcdR_v4d9NKP8IcSUY-Su38fs9LDs_aNTvCQsWwP98_gg&oe=68E583D5&_nc_sid=10d13b,"SHE_IS_ADA 🇳🇬🇰🇷
Did not win the money but I won their hearts.

#pushupschallenge #strengthcore #morningjuice #she_is_ada","pushupschallenge, strengthcore, morningjuice, she_is_ada",,
2025-08-03,99,319,8,14,9,130,https://scontent-atl3-3.cdninstagram.com/o1/v/t16/f2/m86/AQN8zmwn3wruLS4yf76g8zMr9wmC3kSgP21IGsM3sdGIVf4UFDBx7klr9nBlhja9Bd9aSV3jK_dxGXk3BnjRSFmQPXPB48_dXxgO-WM.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=111&vs=1536324857811212_333466723&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC84NzQ1NTNGM0Q4MDdEQ0NCOEYwRDNFQjMwN0U3OEI5OF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HSUptWlI4Yk83YkZrSXdFQUdoc0c5TFByV3dkYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJsK%2Bj%2FqQtLM%2FFQIoAkMzLBdAQ%2BZmZmZmZhgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=43140da220&ccb=9-4&oh=00_AffV2aZ4TKnyV4E6tE76hBscVnvJYquR7vc3ii7gK4M-Mg&oe=68E57D99&_nc_sid=10d13b,"With our 2nd Anniversary! 
We’re celebrating YOU with jaw-dropping deals 
Style, class, and savings like never before!
�ANNIVERSARY SALE STILL ONGOING 

All above products available in different colors and sizes
DM to preorder NOW 🤎 🤍 🤎 🤍 
Delivery is NATIONWIDE!

📸 @soss_moment
Featuring @she_is_ada @sweetmanny_01 mah_yoh_wah

#aconnectcollections #anniversarysales #StayCoolStaySuitedStayClassy 
#acc #viral #trending #viral #reelsinstagram #fashion #explorepage","aconnectcollections, anniversarysales, StayCoolStaySuitedStayClassy, acc, viral, trending, reelsinstagram, fashion, explorepage","soss_moment, she_is_ada, sweetmanny_01",
2025-09-16,0,0,0,0,0,0,https://scontent-iad3-1.cdninstagram.com/o1/v/t16/f2/m86/AQN_Z31PUnEdry-shwnFZX72QbU7jXK0y6fANd7FcQT1SvBNTyBglh_6kPfnHBjXgCRjyToTDKn0EGzmSlQOkqksbjMAdFG3X5Cjan8.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=104&vs=631919196428240_3358841100&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC83MzQ0MkJGRTcwNjAzM0QyRTcwQUFBMUJBMkY1NTY4Ml92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HTEt6ckNCa0JoeFEzWDBFQURldjRDNUwzQWtmYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJvLW%2BsKb1Nc%2FFQIoAkMzLBdAGzMzMzMzMxgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=be64a0005b&ccb=9-4&oh=00_AfeDuijJH8P9XkHS2bM-kGyzpSudHeXkQUyKbZl6PmE_fA&oe=68E57905&_nc_sid=10d13b,"Follow me and watch me become your favourite talent.❤️

#she_is_ada #instareel #discover #ada #follow","she_is_ada, instareel, discover, ada, follow",,
2024-05-18,86,599,9,12,8,115,https://scontent-lga3-1.cdninstagram.com/o1/v/t16/f2/m82/AQOjPJFey1lj20GaTwBZAkHGrvfHgdV32c4g96R_A9b4sOh7fKbwVQid1BnSqOH0xnIfSPwu9EgD8YWc5t2NmAaKXYyjknTAr1W_f10.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=102&vs=1554695431761095_1706172597&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC8yRTQ2OTRBRUYwOTFGM0Y4NjlDNUNDMUI4RjgwNTU5Nl92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HTzNJZEJyTTZYWkdyeHNFQUl3eTZNaVJFZ1ZzYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJsbg7bnRu7RBFQIoAkMzLBdAK7lYEGJN0xgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=9c1d48c03f&ccb=9-4&oh=00_AfciOwVAZl1EjwzwXlWvVJhlB42U5qBFvrCO69sLERn4zA&oe=68E5959C&_nc_sid=10d13b,"Have you figured it out?
^
^
^
^
^
^
^
^
^
^
#fyp #foryou #instareels #she_is_ada #amapiano #amapianodance #2024 #yeonjun","fyp, foryou, instareels, she_is_ada, amapiano, amapianodance, 2024, yeonjun",,
