date,likes,views,comments,estimated_saves,estimated_shares,engagement_rate,video_url,caption,hashtags,mentions,manual_tags
2025-10-01,2331,11235,44,349,233,2957,https://instagram.fjbr1-1.fna.fbcdn.net/o1/v/t16/f2/m86/AQMr4igcuvZ8uVsmNG3r39PL9wICNoZfzKI7bTbHrLUkYcIIYJP9CYRMO90g6Yreuwb5Yd3CLLc8sOFDH1_ilaLOzow2GJNJWFa1hhg.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=103&vs=769173715948224_3863316856&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC8yNDRBMEM5QURCQjJDMEY3RUQzMTMyNzM5MkQxOTdBRl92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HUEt0RXlGeVJ3RFR2Wm9IQUNXa0UzUUhRQzhHYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJsboztP1yJBAFQIoAkMzLBdAK0QYk3S8ahgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=aec698fce5&ccb=9-4&oh=00_AfcfTSqXw3dDpiFmDM341UVE9aj_1vm7nSBu5cJeyGajag&oe=68E87440&_nc_sid=10d13b,🥰🫶🏽,,,
2024-11-05,24450,341001,123,3667,2445,30685,https://instagram.fmem1-1.fna.fbcdn.net/o1/v/t16/f2/m86/AQPDKb9-9VN1KPdp4pgPV-anAbEKAdmc83Uj194hkQYf-bjiUgLUX2VfFRTAI8fyWWASDCcEOb6asBPp7Ghvx7OapMGoht9ETexGtiA.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuMzYwLmJhc2VsaW5lIn0&_nc_cat=109&vs=614604397659123_2417583999&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC8yRDQzQUNFNjBCRDc0NkNCNkRGNTVCMzg2MjA2NUQ5M192aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HR0F4d2hzVWlUWFV0d1VHQUVoT3BIZXNwOXRSYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJvr3lPzplK1AFQIoAkMzLBdAGTMzMzMzMxgSZGFzaF9iYXNlbGluZV8zX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=49b001eda6&ccb=9-4&oh=00_Afde2N2wmeotAM12Kjnbu1xpI5PKpeAsYaZfoNunYLY8mw&oe=68E85D2E&_nc_sid=10d13b,Little wannabe,,,
2025-10-02,1227,8504,21,184,122,1554,https://scontent-iad3-2.cdninstagram.com/o1/v/t16/f2/m86/AQNjpnJnZINZLDKYtMLdC9qbShL3XzrSVuL3cphuPuN5BPw2o07bKc3BYU4TZA1O2ZIlYSRVZ3tYMY3KquaOvWfcHsgv8mbdwupShsI.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=105&vs=4179158312361754_4287862433&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC8xMDQ4MTBCMTgzNjlFODM5M0QxRDYwNjI4QzAzNTA4MF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HT2RaUFNFOFVaZUI3d01KQUpzMXJxYUE3STlOYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJp7Wtv%2FVl51AFQIoAkMzLBdALmZmZmZmZhgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=85f80cf3e4&ccb=9-4&oh=00_AfdF1P8WpJpxNZt0Etg_Xfrsw1oMfyDGNKu27-aVX5nkRg&oe=68E8581A&_nc_sid=10d13b,Period Queen @iamcardib,,iamcardib,
2025-10-06,1469,4733,33,220,146,1868,https://scontent-iad3-1.cdninstagram.com/o1/v/t16/f2/m86/AQNpPIfElmNadeJOoac2gcSlOtxN3X4dWr2xSqbzyFjWuFGSZTHe88r6R051O6PdpT8UgEpFmLqYP2mZ6oDG1UMku3prhmoKTk5vQvg.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=108&vs=25203648635895185_2882237059&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9DMTRCMDI5RkRCNUE1NTQyM0M2NDU2RjQwMDlGM0E4NV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HT0p1YnlGU0RpTHBaOEVHQUlFZXV5YzZRcXdOYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJvKH1fC%2Fhts%2FFQIoAkMzLBdAHIgxJul41RgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=99e4f33fb4&ccb=9-4&oh=00_AfeFzA0Zdg_CB5ZvFZ0VxtoOblHNUi5ihVb_MXBj3RpvKQ&oe=68E84F64&_nc_sid=10d13b,❤️,,,
2025-10-04,1191,4358,27,178,119,1515,https://instagram.fcae1-1.fna.fbcdn.net/o1/v/t16/f2/m86/AQM2Y_1svxKKb6HEFpxKxskuWlAeuK4hZrU6gAfDeXqUQZEd03oC5Ogt5hu7hOCAMmjFmP1yihLsOD8plvHWLgpVY_YUff545FOhRUM.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=103&vs=1288362259247354_2217328458&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC8zQTQxOTZCNzJDQTNCMTIzNkRDRTg4MkQ5RUI2NEE4Rl92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HRTI1Q2lIakJxUnpuT2NDQU51dU5lRUMzcEVBYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJubFm9a3xslAFQIoAkMzLBdAMYhysCDEnBgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=dc78f8b475&ccb=9-4&oh=00_Afe-QeojwMgxiPMuEo9Jlp9VqUTXnR5Rk8I4pzcBgtob5g&oe=68E84C13&_nc_sid=10d13b,🫶🏽,,,
2025-10-05,1062,3664,20,159,106,1347,https://scontent-lga3-3.cdninstagram.com/o1/v/t16/f2/m86/AQNJf3DARj1VbYZrtcZ6sOOl9ZMSmYJ-i-L_ybkccLDf1PQGbJAsKYLlhL9DMNyyVK9Q3rHZnRL64mffZaGTKg-rQ_nV-TIzguyz2zc.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=106&vs=1134666145296736_2346725857&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9FNTRDNTE4MjhDMzk4RERENTQ3MDhCRTkzODM0NTA5Nl92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HSm9QYnlHbjgwUVJsUUlMQUZfTjJwcUw4R2dDYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJprt9LfZoM0%2FFQIoAkMzLBdAK1T987ZFohgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=09af9b37c9&ccb=9-4&oh=00_Affs7-nwOIDLHvf3NVaHvHZ7XWctVyHqr9hDdEch3jzWFw&oe=68E85532&_nc_sid=10d13b,🥰,,,
2025-09-18,1149,6210,24,172,114,1459,https://scontent-mia5-2.cdninstagram.com/o1/v/t16/f2/m86/AQO9em_QLMpj8nVtMv1hmmW0BC8UWu8d4NOPqaPXEIzQpNqz0uo7GTQyZYO6EyKpBUUMoSONzgl6bu9Zuqmdx5bOGaq_UQIMQPFHJ48.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=110&vs=1276236377155736_330438261&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC80RDQ0MDJBNTBBRDNCMEFBMTdCRUQ2OTlDODdDNEU4OV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HTHdUc3lDWGF5RUFJV2dGQUZTbVlTSHQwM2RxYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJui6sqfY6dE%2FFQIoAkMzLBdAI8zMzMzMzRgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=b7e0788d4b&ccb=9-4&oh=00_Afch5Uahp5UhgnyOxsyphLSPtkCudoCx5XOn3-CNynhLmA&oe=68E85550&_nc_sid=10d13b,Baby🥰,,,
2025-09-22,1905,7697,39,285,190,2419,https://scontent-lga3-2.cdninstagram.com/o1/v/t16/f2/m86/AQNrX-BLgZZKHyyNiXPtPrfMGQbHvUJuro-mcF7QvJf8O61pbuPLGKyLVQ7BG_urBfjw1ViLe4bCW-0ZHbdKNYdn6U9W3EtFh0TiNOk.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=101&vs=1305617524347695_507857454&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC83NTRGOUZFNEQ5N0IxMDI3RUZEM0E0OUE4QzI4REFCOF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HQlZtM3lCaU1ZSEYxWFFKQVAtMVU1UHJRMFVHYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJo7w6tTErdA%2FFQIoAkMzLBdAId2yLQ5WBBgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=f59a32b56c&ccb=9-4&oh=00_Afcwnbgy4U4wkFP9doayYyz-ljurzomHrxJlP8eWcufRTw&oe=68E86FE7&_nc_sid=10d13b,Hot🌸,,,
2025-09-20,2215,11293,52,332,221,2820,https://scontent-sjc6-1.cdninstagram.com/o1/v/t16/f2/m86/AQPmpBm1YCMGNkrj1UKH3lLAZa6SIrm7YA32eIDbHrIRtWer1FYVL1oBDU5pUJ4lxJcl8ukbsR_mH2GklLuHlPvtX3rBqTvxHOSvFrw.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=111&vs=1840093053584240_3075163517&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC8yQzRDQzYxRDc0RDgxRjA3NkUwODZCODg0MkFCNEM5NV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HSzM1NkNEeEV2UWhXbHdKQUVNSWV0cHRmUFpZYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJpjCpfrb651AFQIoAkMzLBdACzMzMzMzMxgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=137e9baeb7&ccb=9-4&oh=00_AfcpoEs-wytxYl1SqhaNBoTZ0BjkuxJqr60VXIumZVx6hw&oe=68E86460&_nc_sid=10d13b,🩷,,,
2025-09-28,2539,12089,49,380,253,3221,https://scontent-hou1-1.cdninstagram.com/o1/v/t16/f2/m86/AQMOrneldycq40S6-fcNy7le2rM94rfaSttyaGo50h2VsMClm5n-fO85ZdbNO7_cKmEd8uBEAN7T7yzDHmPlGINP3YnoyfN761Wwuqo.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=103&vs=1113862477585409_585295471&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC82MTRGQzY0QjE3QkI2QkY4NjQyNzBGRUFGODJFODBCRV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HRXFwRXlGUFRQX2lrNDhMQUc2LWlMX0FEOUZmYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJtrO9eytw5ZAFQIoAkMzLBdALCHKwIMSbxgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=fce313f878&ccb=9-4&oh=00_AfcGrj1421pK2-haXs-j9BFbGMC78zb3hYbV3TxMYNPRjA&oe=68E85340&_nc_sid=10d13b,😇,,,
